"","GeneL","modulesA1L"
"1","HSPA1A","HuAgeDis_10"
"2","HBA1","HuAgeDis_00"
"3","HBA2","HuAgeDis_00"
"4","HBG1","HuAgeDis_00"
"5","MT1F","HuAgeDis_05"
"6","ELF5","HuAgeDis_00"
"7","MUTYH","HuAgeDis_01"
"8","C1orf182","HuAgeDis_00"
"9","MID1IP1","HuAgeDis_03"
"10","RGS1","HuAgeDis_02"
"11","DSP","HuAgeDis_11"
"12","TMPRSS5","HuAgeDis_00"
"13","SNCB","HuAgeDis_00"
"14","IL6","HuAgeDis_00"
"15","IGF2","HuAgeDis_00"
"16","MT1JP","HuAgeDis_05"
"17","SLC1A7","HuAgeDis_00"
"18","FAM20A","HuAgeDis_11"
"19","CXCL2","HuAgeDis_00"
"20","BAG3","HuAgeDis_10"
"21","CYP1B1","HuAgeDis_02"
"22","ADM","HuAgeDis_00"
"23","CRYBB2","HuAgeDis_00"
"24","FMOD","HuAgeDis_11"
"25","DNAJB1","HuAgeDis_10"
"26","MBP","HuAgeDis_00"
"27","VGF","HuAgeDis_01"
"28","IRX3","HuAgeDis_00"
"29","TMEM30B","HuAgeDis_00"
"30","G0S2","HuAgeDis_10"
"31","SYTL4","HuAgeDis_05"
"32","VCAM1","HuAgeDis_11"
"33","FOXJ1","HuAgeDis_10"
"34","ZNF423","HuAgeDis_04"
"35","ANGPTL4","HuAgeDis_00"
"36","CHI3L1","HuAgeDis_00"
"37","SERPINA3","HuAgeDis_00"
"38","SLC14A1","HuAgeDis_02"
"39","SNAP25","HuAgeDis_01"
"40","MT1L","HuAgeDis_05"
"41","IL18RAP","HuAgeDis_00"
"42","SLCO4A1","HuAgeDis_05"
"43","ENSA","HuAgeDis_01"
"44","MKNK2","HuAgeDis_10"
"45","MGAT5B","HuAgeDis_04"
"46","CAMK2N1","HuAgeDis_08"
"47","ANGPT2","HuAgeDis_02"
"48","JUNB","HuAgeDis_00"
"49","AHNAK","HuAgeDis_00"
"50","GEM","HuAgeDis_05"
"51","CTGF","HuAgeDis_00"
"52","FRMPD2","HuAgeDis_01"
"53","HLA-DRB3","HuAgeDis_07"
"54","HPR","HuAgeDis_00"
"55","CEBPD","HuAgeDis_03"
"56","KIAA1199","HuAgeDis_11"
"57","RTEL1","HuAgeDis_02"
"58","HLA-DRB1","HuAgeDis_00"
"59","HIST1H2BD","HuAgeDis_03"
"60","HSPA6","HuAgeDis_10"
"61","HBB","HuAgeDis_00"
"62","AP2B1","HuAgeDis_00"
"63","ZNF100","HuAgeDis_00"
"64","APOLD1","HuAgeDis_02"
"65","ITGB1BP1","HuAgeDis_00"
"66","C1QA","HuAgeDis_07"
"67","TXNIP","HuAgeDis_02"
"68","C4B","HuAgeDis_02"
"69","HES5","HuAgeDis_00"
"70","SLC30A4","HuAgeDis_04"
"71","CCL2","HuAgeDis_00"
"72","IFITM3","HuAgeDis_02"
"73","EDN1","HuAgeDis_00"
"74","HBD","HuAgeDis_00"
"75","MLPH","HuAgeDis_11"
"76","C7","HuAgeDis_11"
"77","DDIT4","HuAgeDis_02"
"78","S100A4","HuAgeDis_05"
"79","FRZB","HuAgeDis_11"
"80","FKBP5","HuAgeDis_02"
"81","CFH","HuAgeDis_11"
"82","GADD45B","HuAgeDis_00"
"83","GBP3","HuAgeDis_00"
"84","HIST1H1C","HuAgeDis_03"
"85","IER3","HuAgeDis_00"
"86","AHDC1","HuAgeDis_04"
"87","DDIT4L","HuAgeDis_05"
"88","PRELP","HuAgeDis_11"
"89","MRVI1","HuAgeDis_00"
"90","SPON2","HuAgeDis_01"
"91","TLN1","HuAgeDis_03"
"92","RGS4","HuAgeDis_01"
"93","COL1A2","HuAgeDis_11"
"94","LILRB3","HuAgeDis_00"
"95","CX3CR1","HuAgeDis_07"
"96","AGTR1","HuAgeDis_11"
"97","SERPINA5","HuAgeDis_00"
"98","THSD4","HuAgeDis_11"
"99","AQP1","HuAgeDis_00"
"100","S100A1","HuAgeDis_04"
"101","MICB","HuAgeDis_10"
"102","GADD45G","HuAgeDis_05"
"103","COL6A3","HuAgeDis_11"
"104","ALKBH7","HuAgeDis_00"
"105","HLA-DPA1","HuAgeDis_07"
"106","C12orf53","HuAgeDis_08"
"107","GJA1","HuAgeDis_02"
"108","CXCL12","HuAgeDis_01"
"109","LHX1","HuAgeDis_00"
"110","TGFBI","HuAgeDis_07"
"111","RAB3A","HuAgeDis_08"
"112","CD24","HuAgeDis_00"
"113","SYT1","HuAgeDis_01"
"114","CTXN1","HuAgeDis_08"
"115","SLC1A2","HuAgeDis_00"
"116","S100A11","HuAgeDis_03"
"117","PLA1A","HuAgeDis_02"
"118","PEX6","HuAgeDis_00"
"119","CD68","HuAgeDis_07"
"120","MBNL1","HuAgeDis_00"
"121","ADARB2","HuAgeDis_00"
"122","AEBP1","HuAgeDis_05"
"123","CXCR4","HuAgeDis_02"
"124","CASP8","HuAgeDis_00"
"125","GSTM1","HuAgeDis_00"
"126","TIMP1","HuAgeDis_02"
"127","KLF2","HuAgeDis_00"
"128","MT1X","HuAgeDis_05"
"129","IMPDH2","HuAgeDis_01"
"130","CHORDC1","HuAgeDis_10"
"131","PCSK7","HuAgeDis_00"
"132","APOC2","HuAgeDis_00"
"133","AZGP1","HuAgeDis_05"
"134","KLF15","HuAgeDis_03"
"135","TRPM4","HuAgeDis_00"
"136","FCGR3A","HuAgeDis_07"
"137","MTA2","HuAgeDis_04"
"138","SLC35E2","HuAgeDis_00"
"139","PSPH","HuAgeDis_00"
"140","MYOT","HuAgeDis_05"
"141","RBM3","HuAgeDis_01"
"142","FMN2","HuAgeDis_01"
"143","PDK4","HuAgeDis_02"
"144","PVALB","HuAgeDis_01"
"145","FOXC1","HuAgeDis_11"
"146","COLEC11","HuAgeDis_00"
"147","BCAS1","HuAgeDis_00"
"148","PRKY","HuAgeDis_00"
"149","FAM107A","HuAgeDis_02"
"150","CDKN1A","HuAgeDis_00"
"151","STON1","HuAgeDis_00"
"152","RGL3","HuAgeDis_00"
"153","TRIP10","HuAgeDis_03"
"154","AIF1","HuAgeDis_07"
"155","CAPS","HuAgeDis_02"
"156","CFI","HuAgeDis_00"
"157","STX11","HuAgeDis_02"
"158","KDR","HuAgeDis_00"
"159","RPS26","HuAgeDis_00"
"160","CD44","HuAgeDis_00"
"161","MYBPC1","HuAgeDis_00"
"162","RAC3","HuAgeDis_00"
"163","CNTFR","HuAgeDis_04"
"164","IGFBP5","HuAgeDis_00"
"165","AXL","HuAgeDis_03"
"166","TRIM4","HuAgeDis_00"
"167","GAP43","HuAgeDis_06"
"168","TSPAN8","HuAgeDis_00"
"169","PITPNB","HuAgeDis_01"
"170","P4HA2","HuAgeDis_10"
"171","CXorf36","HuAgeDis_00"
"172","CD99","HuAgeDis_02"
"173","GBP2","HuAgeDis_00"
"174","POMC","HuAgeDis_00"
"175","HES1","HuAgeDis_00"
"176","MRGPRF","HuAgeDis_02"
"177","SLC16A1","HuAgeDis_00"
"178","HMBOX1","HuAgeDis_00"
"179","IL10RA","HuAgeDis_07"
"180","ABCA6","HuAgeDis_00"
"181","CSDA","HuAgeDis_00"
"182","GPR4","HuAgeDis_05"
"183","GRIA3","HuAgeDis_00"
"184","ALAS2","HuAgeDis_00"
"185","HLA-DMB","HuAgeDis_07"
"186","IGF1","HuAgeDis_01"
"187","F3","HuAgeDis_00"
"188","GBP1","HuAgeDis_00"
"189","PTK2B","HuAgeDis_04"
"190","S100A10","HuAgeDis_02"
"191","ADAMTS1","HuAgeDis_02"
"192","NR4A2","HuAgeDis_01"
"193","ADORA3","HuAgeDis_07"
"194","RLBP1","HuAgeDis_00"
"195","GJA4","HuAgeDis_05"
"196","CAMK2A","HuAgeDis_00"
"197","FPR1","HuAgeDis_07"
"198","IFITM1","HuAgeDis_02"
"199","CPXM2","HuAgeDis_11"
"200","NTRK2","HuAgeDis_08"
"201","TYROBP","HuAgeDis_07"
"202","OTOS","HuAgeDis_02"
"203","EBI3","HuAgeDis_07"
"204","GPR26","HuAgeDis_08"
"205","TSPAN10","HuAgeDis_00"
"206","COL1A1","HuAgeDis_11"
"207","TWIST1","HuAgeDis_03"
"208","SLAMF8","HuAgeDis_00"
"209","NPY","HuAgeDis_01"
"210","DUSP1","HuAgeDis_02"
"211","FAM46A","HuAgeDis_10"
"212","DTNA","HuAgeDis_00"
"213","RAPGEF5","HuAgeDis_00"
"214","TMTC1","HuAgeDis_00"
"215","HMOX1","HuAgeDis_00"
"216","A4GALT","HuAgeDis_05"
"217","SPRY4","HuAgeDis_06"
"218","ANXA3","HuAgeDis_02"
"219","ANXA2","HuAgeDis_11"
"220","PLA2G5","HuAgeDis_01"
"221","KCNC3","HuAgeDis_00"
"222","BCL3","HuAgeDis_05"
"223","APOC1","HuAgeDis_00"
"224","KRT19","HuAgeDis_11"
"225","HLA-DQB1","HuAgeDis_00"
"226","GAPDH","HuAgeDis_01"
"227","ADAM33","HuAgeDis_05"
"228","ZFP36","HuAgeDis_00"
"229","TLR2","HuAgeDis_07"
"230","HYAL2","HuAgeDis_02"
"231","CYBB","HuAgeDis_07"
"232","DIO2","HuAgeDis_01"
"233","LCP1","HuAgeDis_07"
"234","AHSA2","HuAgeDis_00"
"235","IL3RA","HuAgeDis_03"
"236","CITED2","HuAgeDis_06"
"237","COL8A2","HuAgeDis_07"
"238","SPIRE1","HuAgeDis_00"
"239","SV2C","HuAgeDis_00"
"240","WISP2","HuAgeDis_00"
"241","MOBP","HuAgeDis_00"
"242","H1F0","HuAgeDis_00"
"243","RGS18","HuAgeDis_07"
"244","RGS10","HuAgeDis_07"
"245","DNAJB6","HuAgeDis_10"
"246","HSD11B1","HuAgeDis_00"
"247","HSPH1","HuAgeDis_10"
"248","IL17RB","HuAgeDis_05"
"249","CLEC2B","HuAgeDis_02"
"250","NFKBIA","HuAgeDis_03"
"251","TINAGL1","HuAgeDis_03"
"252","CD69","HuAgeDis_00"
"253","ACRC","HuAgeDis_10"
"254","KLRG1","HuAgeDis_04"
"255","ANXA2P1","HuAgeDis_11"
"256","SERPINA6","HuAgeDis_00"
"257","TREM2","HuAgeDis_07"
"258","GAD1","HuAgeDis_01"
"259","PRR12","HuAgeDis_04"
