"","PSID","Gene","Module"
"GH1","GH1","GH1","MsAge7K_00"
"CSH1","CSH1","CSH1","MsAge7K_00"
"GH2","GH2","GH2","MsAge7K_00"
"CSHL1","CSHL1","CSHL1","MsAge7K_00"
"CSH2","CSH2","CSH2","MsAge7K_00"
"PRL","PRL","PRL","MsAge7K_00"
"RN7SKP147","RN7SKP147","RN7SKP147","MsAge7K_00"
"LARS2","LARS2","LARS2","MsAge7K_00"
"TTR","TTR","TTR","MsAge7K_00"
"IL31RA","IL31RA","IL31RA","MsAge7K_00"
"RNVU1-1","RNVU1-1","RNVU1-1","MsAge7K_00"
"MT-ATP6","MT-ATP6","MT-ATP6","MsAge7K_00"
"CAPN11","CAPN11","CAPN11","MsAge7K_00"
"ZIC1","ZIC1","ZIC1","MsAge7K_06"
"GPR88","GPR88","GPR88","MsAge7K_02"
"VGLL3","VGLL3","VGLL3","MsAge7K_05"
"C4B","C4B","C4B","MsAge7K_04"
"C4A","C4A","C4A","MsAge7K_04"
"IGFBPL1","IGFBPL1","IGFBPL1","MsAge7K_01"
"FOS","FOS","FOS","MsAge7K_13"
"LCN2","LCN2","LCN2","MsAge7K_00"
"FBXW12","FBXW12","FBXW12","MsAge7K_00"
"KLK6","KLK6","KLK6","MsAge7K_04"
"EOMES","EOMES","EOMES","MsAge7K_06"
"C3","C3","C3","MsAge7K_04"
"SAMD3","SAMD3","SAMD3","MsAge7K_06"
"TEDC1","TEDC1","TEDC1","MsAge7K_00"
"EGR2","EGR2","EGR2","MsAge7K_13"
"HBA1","HBA1","HBA1","MsAge7K_00"
"HBA2","HBA2","HBA2","MsAge7K_00"
"EPS8L1","EPS8L1","EPS8L1","MsAge7K_00"
"COL6A3","COL6A3","COL6A3","MsAge7K_06"
"ISL1","ISL1","ISL1","MsAge7K_06"
"ECEL1","ECEL1","ECEL1","MsAge7K_06"
"EBF3","EBF3","EBF3","MsAge7K_06"
"IFIT1B","IFIT1B","IFIT1B","MsAge7K_04"
"JARID2","JARID2","JARID2","MsAge7K_00"
"POMC","POMC","POMC","MsAge7K_00"
"TPH1","TPH1","TPH1","MsAge7K_00"
"RBP3","RBP3","RBP3","MsAge7K_00"
"ZIC4","ZIC4","ZIC4","MsAge7K_06"
"FMO2","FMO2","FMO2","MsAge7K_00"
"FMOD","FMOD","FMOD","MsAge7K_07"
"ETNPPL","ETNPPL","ETNPPL","MsAge7K_00"
"DIO3","DIO3","DIO3","MsAge7K_05"
"HIF3A","HIF3A","HIF3A","MsAge7K_00"
"CD74","CD74","CD74","MsAge7K_00"
"PRDM12","PRDM12","PRDM12","MsAge7K_06"
"POSTN","POSTN","POSTN","MsAge7K_06"
"GLP1R","GLP1R","GLP1R","MsAge7K_06"
"IFIT3","IFIT3","IFIT3","MsAge7K_04"
"SPP1","SPP1","SPP1","MsAge7K_07"
"SCN5A","SCN5A","SCN5A","MsAge7K_06"
"SIX3","SIX3","SIX3","MsAge7K_06"
"IGFN1","IGFN1","IGFN1","MsAge7K_02"
"SSPN","SSPN","SSPN","MsAge7K_00"
"NPAS4","NPAS4","NPAS4","MsAge7K_13"
"PLIN4","PLIN4","PLIN4","MsAge7K_00"
"PLD5","PLD5","PLD5","MsAge7K_06"
"DSC3","DSC3","DSC3","MsAge7K_02"
"CTGF","CTGF","CTGF","MsAge7K_02"
"PTGDS","PTGDS","PTGDS","MsAge7K_07"
"SLC22A6","SLC22A6","SLC22A6","MsAge7K_07"
"ADORA2A","ADORA2A","ADORA2A","MsAge7K_00"
"ALDH1A2","ALDH1A2","ALDH1A2","MsAge7K_07"
"ARC","ARC","ARC","MsAge7K_13"
"IFI27L2","IFI27L2","IFI27L2","MsAge7K_04"
"CDK8","CDK8","CDK8","MsAge7K_00"
"XDH","XDH","XDH","MsAge7K_00"
"CLDN14","CLDN14","CLDN14","MsAge7K_01"
"BAIAP3","BAIAP3","BAIAP3","MsAge7K_06"
"PRG4","PRG4","PRG4","MsAge7K_07"
"CLEC7A","CLEC7A","CLEC7A","MsAge7K_04"
"SULT1C3","SULT1C3","SULT1C3","MsAge7K_04"
"LAMC2","LAMC2","LAMC2","MsAge7K_02"
"CDH1","CDH1","CDH1","MsAge7K_07"
"SLC47A1","SLC47A1","SLC47A1","MsAge7K_07"
"C1orf115","C1orf115","C1orf115","MsAge7K_06"
"TRHR","TRHR","TRHR","MsAge7K_05"
"CPLX3","CPLX3","CPLX3","MsAge7K_02"
"SP8","SP8","SP8","MsAge7K_06"
"BGLAP","BGLAP","BGLAP","MsAge7K_02"
"HPS5","HPS5","HPS5","MsAge7K_00"
"IL33","IL33","IL33","MsAge7K_00"
