"","Module","Gene"
"GH1","MsAge7K_00","GH1"
"CSH1","MsAge7K_00","CSH1"
"GH2","MsAge7K_00","GH2"
"CSHL1","MsAge7K_00","CSHL1"
"CSH2","MsAge7K_00","CSH2"
"PRL","MsAge7K_00","PRL"
"RN7SKP147","MsAge7K_00","RN7SKP147"
"LARS2","MsAge7K_00","LARS2"
"TTR","MsAge7K_00","TTR"
"IL31RA","MsAge7K_00","IL31RA"
"RNVU1-1","MsAge7K_00","RNVU1-1"
"MT-ATP6","MsAge7K_00","MT-ATP6"
"CAPN11","MsAge7K_00","CAPN11"
"ZIC1","MsAge7K_06","ZIC1"
"GPR88","MsAge7K_02","GPR88"
"VGLL3","MsAge7K_05","VGLL3"
"C4B","MsAge7K_04","C4B"
"C4A","MsAge7K_04","C4A"
"IGFBPL1","MsAge7K_01","IGFBPL1"
"FOS","MsAge7K_13","FOS"
"LCN2","MsAge7K_00","LCN2"
"FBXW12","MsAge7K_00","FBXW12"
"KLK6","MsAge7K_04","KLK6"
"EOMES","MsAge7K_06","EOMES"
"C3","MsAge7K_04","C3"
"SAMD3","MsAge7K_06","SAMD3"
"TEDC1","MsAge7K_00","TEDC1"
"EGR2","MsAge7K_13","EGR2"
"HBA1","MsAge7K_00","HBA1"
"HBA2","MsAge7K_00","HBA2"
"EPS8L1","MsAge7K_00","EPS8L1"
"COL6A3","MsAge7K_06","COL6A3"
"ISL1","MsAge7K_06","ISL1"
"ECEL1","MsAge7K_06","ECEL1"
"EBF3","MsAge7K_06","EBF3"
"IFIT1B","MsAge7K_04","IFIT1B"
"JARID2","MsAge7K_00","JARID2"
"POMC","MsAge7K_00","POMC"
"TPH1","MsAge7K_00","TPH1"
"RBP3","MsAge7K_00","RBP3"
"ZIC4","MsAge7K_06","ZIC4"
"FMO2","MsAge7K_00","FMO2"
"FMOD","MsAge7K_07","FMOD"
"ETNPPL","MsAge7K_00","ETNPPL"
"DIO3","MsAge7K_05","DIO3"
"HIF3A","MsAge7K_00","HIF3A"
"CD74","MsAge7K_00","CD74"
"PRDM12","MsAge7K_06","PRDM12"
"POSTN","MsAge7K_06","POSTN"
"GLP1R","MsAge7K_06","GLP1R"
"IFIT3","MsAge7K_04","IFIT3"
"SPP1","MsAge7K_07","SPP1"
"SCN5A","MsAge7K_06","SCN5A"
"SIX3","MsAge7K_06","SIX3"
"IGFN1","MsAge7K_02","IGFN1"
"SSPN","MsAge7K_00","SSPN"
"NPAS4","MsAge7K_13","NPAS4"
"PLIN4","MsAge7K_00","PLIN4"
"PLD5","MsAge7K_06","PLD5"
"DSC3","MsAge7K_02","DSC3"
"CTGF","MsAge7K_02","CTGF"
"PTGDS","MsAge7K_07","PTGDS"
"SLC22A6","MsAge7K_07","SLC22A6"
"ADORA2A","MsAge7K_00","ADORA2A"
"ALDH1A2","MsAge7K_07","ALDH1A2"
"ARC","MsAge7K_13","ARC"
"IFI27L2","MsAge7K_04","IFI27L2"
"CDK8","MsAge7K_00","CDK8"
"XDH","MsAge7K_00","XDH"
"CLDN14","MsAge7K_01","CLDN14"
"BAIAP3","MsAge7K_06","BAIAP3"
"PRG4","MsAge7K_07","PRG4"
"CLEC7A","MsAge7K_04","CLEC7A"
"SULT1C3","MsAge7K_04","SULT1C3"
"LAMC2","MsAge7K_02","LAMC2"
"CDH1","MsAge7K_07","CDH1"
"SLC47A1","MsAge7K_07","SLC47A1"
"C1orf115","MsAge7K_06","C1orf115"
"TRHR","MsAge7K_05","TRHR"
"CPLX3","MsAge7K_02","CPLX3"
"SP8","MsAge7K_06","SP8"
"BGLAP","MsAge7K_02","BGLAP"
"HPS5","MsAge7K_00","HPS5"
"IL33","MsAge7K_00","IL33"
"MT-ND3","MsAge7K_00","MT-ND3"
"IRS4","MsAge7K_06","IRS4"
"IRF7","MsAge7K_04","IRF7"
"DCN","MsAge7K_05","DCN"
"DUOX2","MsAge7K_06","DUOX2"
"TRH","MsAge7K_00","TRH"
"HLA-DQB1","MsAge7K_00","HLA-DQB1"
"DLK1","MsAge7K_05","DLK1"
"ALB","MsAge7K_00","ALB"
"VILL","MsAge7K_02","VILL"
"SEC14L3","MsAge7K_02","SEC14L3"
"CXCL6","MsAge7K_09","CXCL6"
"SLC4A5","MsAge7K_00","SLC4A5"
"FAM180A","MsAge7K_07","FAM180A"
"F5","MsAge7K_00","F5"
"TSHZ2","MsAge7K_02","TSHZ2"
"TMEM212","MsAge7K_14","TMEM212"
"FAM9B","MsAge7K_00","FAM9B"
"FAM9A","MsAge7K_00","FAM9A"
"RXFP1","MsAge7K_02","RXFP1"
"GPR101","MsAge7K_05","GPR101"
"CYBB","MsAge7K_04","CYBB"
"RNF122","MsAge7K_01","RNF122"
"BACE2","MsAge7K_05","BACE2"
"ATP6AP1L","MsAge7K_00","ATP6AP1L"
"RAB7B","MsAge7K_01","RAB7B"
"SLC6A12","MsAge7K_07","SLC6A12"
"ZIC3","MsAge7K_06","ZIC3"
"CACNG5","MsAge7K_06","CACNG5"
"BST2","MsAge7K_04","BST2"
"FAM9C","MsAge7K_00","FAM9C"
"DRD2","MsAge7K_06","DRD2"
"RET","MsAge7K_06","RET"
"CRABP2","MsAge7K_07","CRABP2"
"ANKRD34C","MsAge7K_02","ANKRD34C"
"NGB","MsAge7K_06","NGB"
"QRFPR","MsAge7K_06","QRFPR"
"SLC6A13","MsAge7K_07","SLC6A13"
"ITIH2","MsAge7K_07","ITIH2"
"CLIC6","MsAge7K_00","CLIC6"
"USP43","MsAge7K_02","USP43"
"ASB4","MsAge7K_06","ASB4"
"COL3A1","MsAge7K_00","COL3A1"
"PPP3R1","MsAge7K_00","PPP3R1"
"CROCC2","MsAge7K_14","CROCC2"
"SLC10A4","MsAge7K_06","SLC10A4"
"PRKCD","MsAge7K_06","PRKCD"
"ANO2","MsAge7K_06","ANO2"
"NTSR1","MsAge7K_02","NTSR1"
"RASGEF1C","MsAge7K_02","RASGEF1C"
"CBLN4","MsAge7K_02","CBLN4"
"SPHK1","MsAge7K_07","SPHK1"
"DGKK","MsAge7K_06","DGKK"
"IQCA1","MsAge7K_00","IQCA1"
"TOP2A","MsAge7K_01","TOP2A"
"FERMT1","MsAge7K_02","FERMT1"
"RNU4-2","MsAge7K_00","RNU4-2"
"ITGAX","MsAge7K_04","ITGAX"
"ARHGAP36","MsAge7K_06","ARHGAP36"
"ADGRD1","MsAge7K_06","ADGRD1"
"CCDC180","MsAge7K_14","CCDC180"
"DKKL1","MsAge7K_02","DKKL1"
"RNU4-1","MsAge7K_00","RNU4-1"
"LGALS3BP","MsAge7K_04","LGALS3BP"
"UPK1B","MsAge7K_04","UPK1B"
"SOWAHB","MsAge7K_02","SOWAHB"
"APOLD1","MsAge7K_13","APOLD1"
"GABRQ","MsAge7K_06","GABRQ"
"TNNT2","MsAge7K_02","TNNT2"
"RSAD2","MsAge7K_04","RSAD2"
"SULT1C2","MsAge7K_04","SULT1C2"
"CGA","MsAge7K_00","CGA"
"CCDC153","MsAge7K_14","CCDC153"
"MID1","MsAge7K_00","MID1"
"ADAM33","MsAge7K_05","ADAM33"
"CYP2E1","MsAge7K_04","CYP2E1"
"SOST","MsAge7K_06","SOST"
"CD44","MsAge7K_00","CD44"
"PENK","MsAge7K_00","PENK"
"GNB3","MsAge7K_00","GNB3"
"MGP","MsAge7K_07","MGP"
"ENPP6","MsAge7K_01","ENPP6"
"CD52","MsAge7K_04","CD52"
"INMT","MsAge7K_00","INMT"
"INMT-MINDY4","MsAge7K_00","INMT-MINDY4"
"GBP5","MsAge7K_00","GBP5"
"ASPG","MsAge7K_04","ASPG"
"CBLN3","MsAge7K_00","CBLN3"
"IGHM","MsAge7K_04","IGHM"
"COL6A1","MsAge7K_05","COL6A1"
"TMTC2","MsAge7K_00","TMTC2"
"COX8C","MsAge7K_04","COX8C"
"GBP2","MsAge7K_00","GBP2"
"SERPINA3","MsAge7K_00","SERPINA3"
"HSPA1A","MsAge7K_00","HSPA1A"
"HSPA1B","MsAge7K_00","HSPA1B"
"AVP","MsAge7K_00","AVP"
"WNT6","MsAge7K_07","WNT6"
"A2M","MsAge7K_00","A2M"
"FLNC","MsAge7K_04","FLNC"
"WFIKKN2","MsAge7K_00","WFIKKN2"
"CDH26","MsAge7K_00","CDH26"
"FAM83D","MsAge7K_01","FAM83D"
"MYBPC1","MsAge7K_00","MYBPC1"
"LRRC71","MsAge7K_14","LRRC71"
"MX1","MsAge7K_04","MX1"
"GALNT15","MsAge7K_00","GALNT15"
"MYH11","MsAge7K_07","MYH11"
"CARD17","MsAge7K_00","CARD17"
"CARD16","MsAge7K_00","CARD16"
"CASP1","MsAge7K_00","CASP1"
"VWC2L","MsAge7K_02","VWC2L"
"COL8A1","MsAge7K_00","COL8A1"
"ADAMTS14","MsAge7K_15","ADAMTS14"
"ACER2","MsAge7K_00","ACER2"
"PRDM6","MsAge7K_07","PRDM6"
"SLC14A2","MsAge7K_14","SLC14A2"
"GAPDH","MsAge7K_00","GAPDH"
"GADL1","MsAge7K_00","GADL1"
"ZNF474","MsAge7K_00","ZNF474"
"OVOL2","MsAge7K_02","OVOL2"
"FAM110D","MsAge7K_00","FAM110D"
"DRAXIN","MsAge7K_01","DRAXIN"
"COL2A1","MsAge7K_00","COL2A1"
