"","black","blue","brown","cyan","green","greenyellow","grey","grey60","lightcyan","magenta","midnightblue","pink","purple","red","salmon","tan","turquoise","yellow"
"1","FMOD","COBL","CAMSAP2","CCDC153","TIMP2","DSP","VSTM5","LENG8","GOLGA8J","PLEKHB1","ARHGAP39","CSMD1","ATP5ME","ISL1","ARC","RPS18","TSPAN2","C4B"
"2","PTGDS","RIMS3","HTT","AK7","CADM1","LCT","RREB1","ZCCHC7","GOLGA8M","TMEM63A","TSPAN18","NRG3","TMA7","ZIC1","FOS","RPL12","CNP","C4A"
"3","SLC22A6","LGI2","SMG1","TMEM212","DCN","DGKH","ZC3H6","TRANK1","GOLGA6B","ERMN","GOLM1","LINGO2","RPL41","PRDM12","JUNB","RPL14","GSN","CTSS"
"4","ITIH2","ZDHHC22","ATP8A1","DNAH6","KCNG1","ZBTB20","MALT1","TIA1","GOLGA8G","ERBIN","KSR1","LRP1B","RPL37A","SCN5A","TIPARP","RPL11","UGT8","LGALS3BP"
"5","ALDH1A2","SATB1","VPS13D","CROCC2","NR2F2","PROX1","ADARB2","FLNB","GOLGA8Q","SEC14L5","KNDC1","NLGN1","NDUFA5","PLD5","NR4A1","RPL17","PLP1","APOD"
"6","VTN","CPLX3","TAOK1","DNAH10","EFNB2","ORAI2","ZKSCAN2","EML5","GOLGA8R","ASPA","OLFML2B","FGF14","RPL28","C1orf115","EGR1","RPS6","ADAMTS4","C1QC"
"7","SLC6A13","NECAB1","KIAA1109","DNAH12","DIO3","SEMA5A","C4B","SNRNP70","GOLGA8T","SEPT4","SH3BP5","OPCML","RPL38","SP8","EGR2","RPS16","MAL","TREM2"
"8","SERPING1","OLFM2","WNK3","CCDC170","TRHR","KIAA1211L","C4A","GUF1","GOLGA6A","GALNT6","THSD4","KCNIP4","ATP5MD","ANO1","SIK1","NDUFB4","CLDN11","C1QB"
"9","GJB2","KCNT1","HIPK1","FRMPD2","TMEM255A","NPNT","PLEC","FAM228B","GOLGA8A","BCAS1","FKBP5","FAM155A","NDUFB3","CACNA2D2","SIK1B","RPSA","SIRT2","MPEG1"
"10","MGP","CUX2","UBR4","ACAP1","ADGRA1","WIPF3","FLNB","NKTR","GOLGA8S","GATM","SIPA1L2","LRRTM4","RPL23","COL6A3","DUSP1","RPL18A","DDR1","C1QA"
