"","Gene","modulesA1"
"1","GH1","grey"
"2","CSH1","grey"
"3","GH2","grey"
"4","CSHL1","grey"
"5","CSH2","grey"
"6","PRL","grey"
"7","RN7SKP147","grey"
"8","LARS2","grey"
"9","TTR","grey"
"10","IL31RA","grey"
"11","RNVU1-1","grey"
"12","MT-ATP6","grey"
"13","CAPN11","grey"
"14","ZIC1","red"
"15","GPR88","blue"
"16","VGLL3","green"
"17","C4B","yellow"
"18","C4A","yellow"
"19","IGFBPL1","turquoise"
"20","FOS","salmon"
"21","LCN2","grey"
"22","FBXW12","grey"
"23","KLK6","yellow"
"24","EOMES","red"
"25","C3","yellow"
"26","SAMD3","red"
"27","TEDC1","grey"
"28","EGR2","salmon"
"29","HBA1","grey"
"30","HBA2","grey"
"31","EPS8L1","grey"
"32","COL6A3","red"
"33","ISL1","red"
"34","ECEL1","red"
"35","EBF3","red"
"36","IFIT1B","yellow"
"37","JARID2","grey"
"38","POMC","grey"
"39","TPH1","grey"
"40","RBP3","grey"
"41","ZIC4","red"
"42","FMO2","grey"
"43","FMOD","black"
"44","ETNPPL","grey"
"45","DIO3","green"
"46","HIF3A","grey"
"47","CD74","grey"
"48","PRDM12","red"
"49","POSTN","red"
"50","GLP1R","red"
"51","IFIT3","yellow"
"52","SPP1","black"
"53","SCN5A","red"
"54","SIX3","red"
"55","IGFN1","blue"
"56","SSPN","grey"
"57","NPAS4","salmon"
"58","PLIN4","grey"
"59","PLD5","red"
"60","DSC3","blue"
"61","CTGF","blue"
"62","PTGDS","black"
"63","SLC22A6","black"
"64","ADORA2A","grey"
"65","ALDH1A2","black"
"66","ARC","salmon"
"67","IFI27L2","yellow"
"68","CDK8","grey"
"69","XDH","grey"
"70","CLDN14","turquoise"
"71","BAIAP3","red"
"72","PRG4","black"
"73","CLEC7A","yellow"
"74","SULT1C3","yellow"
"75","LAMC2","blue"
"76","CDH1","black"
"77","SLC47A1","black"
"78","C1orf115","red"
"79","TRHR","green"
"80","CPLX3","blue"
"81","SP8","red"
"82","BGLAP","blue"
"83","HPS5","grey"
"84","IL33","grey"
"85","MT-ND3","grey"
"86","IRS4","red"
"87","IRF7","yellow"
"88","DCN","green"
"89","DUOX2","red"
"90","TRH","grey"
"91","HLA-DQB1","grey"
"92","DLK1","green"
"93","ALB","grey"
"94","VILL","blue"
"95","SEC14L3","blue"
"96","CXCL6","magenta"
"97","SLC4A5","grey"
"98","FAM180A","black"
"99","F5","grey"
"100","TSHZ2","blue"
"101","TMEM212","cyan"
"102","FAM9B","grey"
"103","FAM9A","grey"
"104","RXFP1","blue"
"105","GPR101","green"
"106","CYBB","yellow"
"107","RNF122","turquoise"
"108","BACE2","green"
"109","ATP6AP1L","grey"
"110","RAB7B","turquoise"
"111","SLC6A12","black"
"112","ZIC3","red"
"113","CACNG5","red"
"114","BST2","yellow"
"115","FAM9C","grey"
"116","DRD2","red"
"117","RET","red"
"118","CRABP2","black"
"119","ANKRD34C","blue"
"120","NGB","red"
"121","QRFPR","red"
"122","SLC6A13","black"
"123","ITIH2","black"
"124","CLIC6","grey"
"125","USP43","blue"
"126","ASB4","red"
"127","COL3A1","grey"
"128","PPP3R1","grey"
"129","CROCC2","cyan"
"130","SLC10A4","red"
"131","PRKCD","red"
"132","ANO2","red"
"133","NTSR1","blue"
"134","RASGEF1C","blue"
"135","CBLN4","blue"
"136","SPHK1","black"
"137","DGKK","red"
"138","IQCA1","grey"
"139","TOP2A","turquoise"
"140","FERMT1","blue"
"141","RNU4-2","grey"
"142","ITGAX","yellow"
"143","ARHGAP36","red"
"144","ADGRD1","red"
"145","CCDC180","cyan"
"146","DKKL1","blue"
"147","RNU4-1","grey"
"148","LGALS3BP","yellow"
"149","UPK1B","yellow"
"150","SOWAHB","blue"
"151","APOLD1","salmon"
"152","GABRQ","red"
"153","TNNT2","blue"
"154","RSAD2","yellow"
"155","SULT1C2","yellow"
"156","CGA","grey"
"157","CCDC153","cyan"
"158","MID1","grey"
"159","ADAM33","green"
"160","CYP2E1","yellow"
"161","SOST","red"
"162","CD44","grey"
"163","PENK","grey"
"164","GNB3","grey"
"165","MGP","black"
"166","ENPP6","turquoise"
"167","CD52","yellow"
"168","INMT","grey"
"169","INMT-MINDY4","grey"
"170","GBP5","grey"
"171","ASPG","yellow"
"172","CBLN3","grey"
"173","IGHM","yellow"
"174","COL6A1","green"
"175","TMTC2","grey"
"176","COX8C","yellow"
"177","GBP2","grey"
"178","SERPINA3","grey"
"179","HSPA1A","grey"
"180","HSPA1B","grey"
"181","AVP","grey"
"182","WNT6","black"
"183","A2M","grey"
"184","FLNC","yellow"
"185","WFIKKN2","grey"
"186","CDH26","grey"
"187","FAM83D","turquoise"
"188","MYBPC1","grey"
"189","LRRC71","cyan"
"190","MX1","yellow"
"191","GALNT15","grey"
"192","MYH11","black"
"193","CARD17","grey"
"194","CARD16","grey"
"195","CASP1","grey"
"196","VWC2L","blue"
"197","COL8A1","grey"
"198","ADAMTS14","midnightblue"
"199","ACER2","grey"
"200","PRDM6","black"
"201","SLC14A2","cyan"
"202","GAPDH","grey"
"203","GADL1","grey"
"204","ZNF474","grey"
"205","OVOL2","blue"
"206","FAM110D","grey"
"207","DRAXIN","turquoise"
"208","COL2A1","grey"
"209","GSN","turquoise"
"210","KCNJ2","grey"
"211","RPL23A","grey"
"212","DCT","grey"
"213","ISG15","yellow"
"214","LDOC1","green"
"215","RTP4","yellow"
"216","ACTA2","black"
"217","CPA6","grey"
"218","PDE6G","grey"
"219","LIPM","grey"
"220","LRMDA","grey"
"221","BLOC1S1","grey"
"222","MT-ATP8","grey"
"223","FOXP2","grey"
"224","KCNG3","brown"
"225","APOD","yellow"
"226","PBK","turquoise"
"227","TNC","grey"
"228","MT1M","grey"
"229","MT1X","grey"
"230","COL1A1","grey"
"231","SGCZ","blue"
"232","EBF2","red"
"233","C11orf97","cyan"
"234","SEMA3A","blue"
"235","CA13","black"
"236","PEG10","red"
"237","ADAMTSL3","black"
"238","NPFFR1","red"
"239","DNAH12","cyan"
"240","IL12RB1","turquoise"
"241","DNALI1","cyan"
"242","DNAH10","cyan"
"243","NEUROG2","turquoise"
"244","MOBP","turquoise"
"245","MYO3B","grey"
"246","RSPO1","grey"
"247","PAPLN","grey"
"248","RTP1","grey"
"249","CLDN11","turquoise"
"250","ZNF804B","pink"
"251","PI16","grey"
"252","AK7","cyan"
"253","SGK1","grey"
"254","EFCAB13","grey"
"255","MGMT","grey"
"256","CHRM5","grey"
"257","SLITRK6","grey"
"258","SLC15A2","grey"
"259","OSR1","black"
"260","FAT2","grey"
"261","SHOX2","grey"
"262","KLF5","blue"
"263","GKN3P","grey"
"264","CLDN1","grey"
"265","ANGPTL4","grey"
"266","RASSF10","turquoise"
"267","LHX1","red"
"268","NPBWR1","grey"
"269","STYK1","grey"
"270","RECQL4","grey"
"271","GALR2","grey"
"272","DDX60","yellow"
"273","ICAM1","grey"
"274","ANXA1","grey"
"275","CYP1B1","black"
"276","L3MBTL4","grey"
"277","DMGDH","blue"
"278","SLC5A7","red"
"279","ENDOU","grey"
"280","NNMT","grey"
"281","LGALS3","grey"
"282","C3AR1","yellow"
"283","MYO9A","brown"
"284","ATF3","grey"
"285","VWF","black"
"286","SLC26A7","black"
"287","GPR182","black"
"288","ANO1","red"
"289","ITGAL","grey"
"290","AQP1","grey"
"291","COL1A2","grey"
"292","SLC17A6","blue"
"293","BUB1B","grey"
"294","ZIC5","red"
"295","PIEZO2","grey"
"296","CARTPT","grey"
"297","SLC13A3","black"
"298","GJB2","black"
"299","OR2AK2","green"
"300","DHX58","grey"
"301","CASR","turquoise"
"302","DUSP1","salmon"
"303","KCNE2","grey"
"304","AEBP1","black"
"305","TNFRSF8","grey"
"306","ELN","grey"
"307","CLDN2","grey"
"308","COL9A1","grey"
