"","GeneL","modulesA1L"
"1","GH1","MsAge7K_00"
"2","CSH1","MsAge7K_00"
"3","GH2","MsAge7K_00"
"4","CSHL1","MsAge7K_00"
"5","CSH2","MsAge7K_00"
"6","PRL","MsAge7K_00"
"7","RN7SKP147","MsAge7K_00"
"8","LARS2","MsAge7K_00"
"9","TTR","MsAge7K_00"
"10","IL31RA","MsAge7K_00"
"11","RNVU1-1","MsAge7K_00"
"12","MT-ATP6","MsAge7K_00"
"13","CAPN11","MsAge7K_00"
"14","ZIC1","MsAge7K_06"
"15","GPR88","MsAge7K_02"
"16","VGLL3","MsAge7K_05"
"17","C4B","MsAge7K_04"
"18","C4A","MsAge7K_04"
"19","IGFBPL1","MsAge7K_01"
"20","FOS","MsAge7K_13"
"21","LCN2","MsAge7K_00"
"22","FBXW12","MsAge7K_00"
"23","KLK6","MsAge7K_04"
"24","EOMES","MsAge7K_06"
"25","C3","MsAge7K_04"
"26","SAMD3","MsAge7K_06"
"27","TEDC1","MsAge7K_00"
"28","EGR2","MsAge7K_13"
"29","HBA1","MsAge7K_00"
"30","HBA2","MsAge7K_00"
"31","EPS8L1","MsAge7K_00"
"32","COL6A3","MsAge7K_06"
"33","ISL1","MsAge7K_06"
"34","ECEL1","MsAge7K_06"
"35","EBF3","MsAge7K_06"
"36","IFIT1B","MsAge7K_04"
"37","JARID2","MsAge7K_00"
"38","POMC","MsAge7K_00"
"39","TPH1","MsAge7K_00"
"40","RBP3","MsAge7K_00"
"41","ZIC4","MsAge7K_06"
"42","FMO2","MsAge7K_00"
"43","FMOD","MsAge7K_07"
"44","ETNPPL","MsAge7K_00"
"45","DIO3","MsAge7K_05"
"46","HIF3A","MsAge7K_00"
"47","CD74","MsAge7K_00"
"48","PRDM12","MsAge7K_06"
"49","POSTN","MsAge7K_06"
"50","GLP1R","MsAge7K_06"
"51","IFIT3","MsAge7K_04"
"52","SPP1","MsAge7K_07"
"53","SCN5A","MsAge7K_06"
"54","SIX3","MsAge7K_06"
"55","IGFN1","MsAge7K_02"
"56","SSPN","MsAge7K_00"
"57","NPAS4","MsAge7K_13"
"58","PLIN4","MsAge7K_00"
"59","PLD5","MsAge7K_06"
"60","DSC3","MsAge7K_02"
"61","CTGF","MsAge7K_02"
"62","PTGDS","MsAge7K_07"
"63","SLC22A6","MsAge7K_07"
"64","ADORA2A","MsAge7K_00"
"65","ALDH1A2","MsAge7K_07"
"66","ARC","MsAge7K_13"
"67","IFI27L2","MsAge7K_04"
"68","CDK8","MsAge7K_00"
"69","XDH","MsAge7K_00"
"70","CLDN14","MsAge7K_01"
"71","BAIAP3","MsAge7K_06"
"72","PRG4","MsAge7K_07"
"73","CLEC7A","MsAge7K_04"
"74","SULT1C3","MsAge7K_04"
"75","LAMC2","MsAge7K_02"
"76","CDH1","MsAge7K_07"
"77","SLC47A1","MsAge7K_07"
"78","C1orf115","MsAge7K_06"
"79","TRHR","MsAge7K_05"
"80","CPLX3","MsAge7K_02"
"81","SP8","MsAge7K_06"
"82","BGLAP","MsAge7K_02"
"83","HPS5","MsAge7K_00"
"84","IL33","MsAge7K_00"
"85","MT-ND3","MsAge7K_00"
"86","IRS4","MsAge7K_06"
"87","IRF7","MsAge7K_04"
"88","DCN","MsAge7K_05"
"89","DUOX2","MsAge7K_06"
"90","TRH","MsAge7K_00"
"91","HLA-DQB1","MsAge7K_00"
"92","DLK1","MsAge7K_05"
"93","ALB","MsAge7K_00"
"94","VILL","MsAge7K_02"
"95","SEC14L3","MsAge7K_02"
"96","CXCL6","MsAge7K_09"
"97","SLC4A5","MsAge7K_00"
"98","FAM180A","MsAge7K_07"
"99","F5","MsAge7K_00"
"100","TSHZ2","MsAge7K_02"
"101","TMEM212","MsAge7K_14"
"102","FAM9B","MsAge7K_00"
"103","FAM9A","MsAge7K_00"
"104","RXFP1","MsAge7K_02"
"105","GPR101","MsAge7K_05"
"106","CYBB","MsAge7K_04"
"107","RNF122","MsAge7K_01"
"108","BACE2","MsAge7K_05"
"109","ATP6AP1L","MsAge7K_00"
"110","RAB7B","MsAge7K_01"
"111","SLC6A12","MsAge7K_07"
"112","ZIC3","MsAge7K_06"
"113","CACNG5","MsAge7K_06"
"114","BST2","MsAge7K_04"
"115","FAM9C","MsAge7K_00"
"116","DRD2","MsAge7K_06"
"117","RET","MsAge7K_06"
"118","CRABP2","MsAge7K_07"
"119","ANKRD34C","MsAge7K_02"
"120","NGB","MsAge7K_06"
"121","QRFPR","MsAge7K_06"
"122","SLC6A13","MsAge7K_07"
"123","ITIH2","MsAge7K_07"
"124","CLIC6","MsAge7K_00"
"125","USP43","MsAge7K_02"
"126","ASB4","MsAge7K_06"
"127","COL3A1","MsAge7K_00"
"128","PPP3R1","MsAge7K_00"
"129","CROCC2","MsAge7K_14"
"130","SLC10A4","MsAge7K_06"
"131","PRKCD","MsAge7K_06"
"132","ANO2","MsAge7K_06"
"133","NTSR1","MsAge7K_02"
"134","RASGEF1C","MsAge7K_02"
"135","CBLN4","MsAge7K_02"
"136","SPHK1","MsAge7K_07"
"137","DGKK","MsAge7K_06"
"138","IQCA1","MsAge7K_00"
"139","TOP2A","MsAge7K_01"
"140","FERMT1","MsAge7K_02"
"141","RNU4-2","MsAge7K_00"
"142","ITGAX","MsAge7K_04"
"143","ARHGAP36","MsAge7K_06"
"144","ADGRD1","MsAge7K_06"
"145","CCDC180","MsAge7K_14"
"146","DKKL1","MsAge7K_02"
"147","RNU4-1","MsAge7K_00"
"148","LGALS3BP","MsAge7K_04"
"149","UPK1B","MsAge7K_04"
"150","SOWAHB","MsAge7K_02"
"151","APOLD1","MsAge7K_13"
