fromNode	toNode	weight	direction	fromAltName	toAltName
GH1	CSH1	0.447344560259763	undirected	GH1	CSH1
GH1	GH2	0.447344560259763	undirected	GH1	GH2
GH1	CSHL1	0.447344560259763	undirected	GH1	CSHL1
GH1	CSH2	0.447344560259763	undirected	GH1	CSH2
GH1	PRL	0.397842443926542	undirected	GH1	PRL
GH1	POMC	0.154785266913131	undirected	GH1	POMC
GH1	CGA	0.370960622391194	undirected	GH1	CGA
GH1	POU1F1	0.0436414495993403	undirected	GH1	POU1F1
CSH1	GH2	0.447344560259763	undirected	CSH1	GH2
CSH1	CSHL1	0.447344560259763	undirected	CSH1	CSHL1
CSH1	CSH2	0.447344560259763	undirected	CSH1	CSH2
CSH1	PRL	0.397842443926542	undirected	CSH1	PRL
CSH1	POMC	0.154785266913131	undirected	CSH1	POMC
CSH1	CGA	0.370960622391194	undirected	CSH1	CGA
CSH1	POU1F1	0.0436414495993403	undirected	CSH1	POU1F1
GH2	CSHL1	0.447344560259763	undirected	GH2	CSHL1
GH2	CSH2	0.447344560259763	undirected	GH2	CSH2
GH2	PRL	0.397842443926542	undirected	GH2	PRL
GH2	POMC	0.154785266913131	undirected	GH2	POMC
GH2	CGA	0.370960622391194	undirected	GH2	CGA
GH2	POU1F1	0.0436414495993403	undirected	GH2	POU1F1
CSHL1	CSH2	0.447344560259763	undirected	CSHL1	CSH2
CSHL1	PRL	0.397842443926542	undirected	CSHL1	PRL
CSHL1	POMC	0.154785266913131	undirected	CSHL1	POMC
CSHL1	CGA	0.370960622391194	undirected	CSHL1	CGA
CSHL1	POU1F1	0.0436414495993403	undirected	CSHL1	POU1F1
CSH2	PRL	0.397842443926542	undirected	CSH2	PRL
CSH2	POMC	0.154785266913131	undirected	CSH2	POMC
CSH2	CGA	0.370960622391194	undirected	CSH2	CGA
CSH2	POU1F1	0.0436414495993403	undirected	CSH2	POU1F1
PRL	POMC	0.111387857462975	undirected	PRL	POMC
PRL	CGA	0.239464709092866	undirected	PRL	CGA
PRL	POU1F1	0.0283397026610888	undirected	PRL	POU1F1
RN7SKP147	LARS2	0.215978203486606	undirected	RN7SKP147	LARS2
RN7SKP147	IL31RA	0.177349031625196	undirected	RN7SKP147	IL31RA
RN7SKP147	RNVU1-1	0.220174944714401	undirected	RN7SKP147	RNVU1-1
RN7SKP147	JARID2	0.236316416558312	undirected	RN7SKP147	JARID2
RN7SKP147	SSPN	0.166051741435365	undirected	RN7SKP147	SSPN
RN7SKP147	CDK8	0.124515722949139	undirected	RN7SKP147	CDK8
RN7SKP147	RNU4-2	0.195367775404683	undirected	RN7SKP147	RNU4-2
RN7SKP147	RNU4-1	0.191778002098466	undirected	RN7SKP147	RNU4-1
RN7SKP147	TMTC2	0.0296054921292573	undirected	RN7SKP147	TMTC2
RN7SKP147	ZC3H7A	0.200893192345822	undirected	RN7SKP147	ZC3H7A
RN7SKP147	OPCML	0.0224668972248798	undirected	RN7SKP147	OPCML
RN7SKP147	SCARNA2	0.0315827560663991	undirected	RN7SKP147	SCARNA2
RN7SKP147	GPHN	0.136664156953636	undirected	RN7SKP147	GPHN
RN7SKP147	PEAK1	0.0401359521254683	undirected	RN7SKP147	PEAK1
RN7SKP147	CAMK1D	0.109181106378216	undirected	RN7SKP147	CAMK1D
LARS2	IL31RA	0.19715922796259	undirected	LARS2	IL31RA
LARS2	RNVU1-1	0.219763582448842	undirected	LARS2	RNVU1-1
LARS2	JARID2	0.249033979484881	undirected	LARS2	JARID2
LARS2	SSPN	0.170714467617691	undirected	LARS2	SSPN
LARS2	CDK8	0.153393950845075	undirected	LARS2	CDK8
LARS2	RNU4-2	0.186844163316638	undirected	LARS2	RNU4-2
LARS2	RNU4-1	0.185703170738388	undirected	LARS2	RNU4-1
LARS2	TMTC2	0.0279611779619464	undirected	LARS2	TMTC2
LARS2	ZC3H7A	0.210202069897011	undirected	LARS2	ZC3H7A
LARS2	OPCML	0.0253910628792988	undirected	LARS2	OPCML
LARS2	SCARNA2	0.0337442675926883	undirected	LARS2	SCARNA2
LARS2	GPHN	0.142011687087615	undirected	LARS2	GPHN
