"","InputCategories","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues"
"1","black","AstroByothersCuffdiff2FCover20__","User",4,0.478160820310472,1
"2","black","EndotheByothersCuffdiff2FCover20__","User",22,3.78818606383477e-08,4.50794141596338e-06
"3","black","MicrogliByothersCuffdiff2FCover20__","User",8,0.658230973624701,1
"4","black","MyeOligoByothersCuffdiff2FCover20__","User",2,0.51492286032157,1
"5","black","NeuronByothersCuffdiff2FCover20__","User",2,0.945094666757317,1
"6","black","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"7","black","PreOligoByothersCuffdiff2FCover20__","User",7,3.46703809540599e-05,0.00412577533353312
"8","blue","AstroByothersCuffdiff2FCover20__","User",13,0.074649422609182,1
"9","blue","EndotheByothersCuffdiff2FCover20__","User",5,0.998221362484977,1
"10","blue","MicrogliByothersCuffdiff2FCover20__","User",12,0.988101866108052,1
"11","blue","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"12","blue","NeuronByothersCuffdiff2FCover20__","User",39,7.15808333145652e-13,8.51811916443326e-11
"13","blue","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"14","blue","PreOligoByothersCuffdiff2FCover20__","User",4,0.172264820169596,1
"15","brown","AstroByothersCuffdiff2FCover20__","User",10,0.0370772641466456,1
"16","brown","EndotheByothersCuffdiff2FCover20__","User",5,0.934590498431412,1
"17","brown","MicrogliByothersCuffdiff2FCover20__","User",5,0.997256320961492,1
"18","brown","MyeOligoByothersCuffdiff2FCover20__","User",3,0.466534066161615,1
"19","brown","NeuronByothersCuffdiff2FCover20__","User",8,0.351026238782037,1
"20","brown","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"21","brown","PreOligoByothersCuffdiff2FCover20__","User",2,0.398721670989177,1
"22","cyan","AstroByothersCuffdiff2FCover20__","User",4,0.0470459317232495,1
"23","cyan","EndotheByothersCuffdiff2FCover20__","User",3,0.38800014662984,1
"24","cyan","MicrogliByothersCuffdiff2FCover20__","User",1,0.971178495953197,1
"25","cyan","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"26","cyan","NeuronByothersCuffdiff2FCover20__","User",0,1,1
"27","cyan","NewOligoByothersCuffdiff2FCover20__","User",1,0.153276102391526,1
"28","cyan","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"29","green","AstroByothersCuffdiff2FCover20__","User",2,0.907127585537321,1
"30","green","EndotheByothersCuffdiff2FCover20__","User",4,0.886870720325742,1
"31","green","MicrogliByothersCuffdiff2FCover20__","User",2,0.999540870268848,1
"32","green","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"33","green","NeuronByothersCuffdiff2FCover20__","User",21,1.46208061179273e-08,1.73987592803335e-06
"34","green","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"35","green","PreOligoByothersCuffdiff2FCover20__","User",4,0.0186289121777912,1
"36","greenyellow","AstroByothersCuffdiff2FCover20__","User",1,0.90009973558448,1
"37","greenyellow","EndotheByothersCuffdiff2FCover20__","User",5,0.30353225853617,1
"38","greenyellow","MicrogliByothersCuffdiff2FCover20__","User",5,0.661904766815319,1
"39","greenyellow","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"40","greenyellow","NeuronByothersCuffdiff2FCover20__","User",6,0.0657115925227826,1
"41","greenyellow","NewOligoByothersCuffdiff2FCover20__","User",1,0.239292580489021,1
"42","greenyellow","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"43","grey60","AstroByothersCuffdiff2FCover20__","User",2,0.206219257560467,1
"44","grey60","EndotheByothersCuffdiff2FCover20__","User",1,0.757623302482867,1
"45","grey60","MicrogliByothersCuffdiff2FCover20__","User",0,1,1
"46","grey60","MyeOligoByothersCuffdiff2FCover20__","User",1,0.337524110429671,1
"47","grey60","NeuronByothersCuffdiff2FCover20__","User",2,0.292373873683534,1
"48","grey60","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"49","grey60","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"50","lightcyan","AstroByothersCuffdiff2FCover20__","User",0,1,1
"51","lightcyan","EndotheByothersCuffdiff2FCover20__","User",2,0.554351992861241,1
"52","lightcyan","MicrogliByothersCuffdiff2FCover20__","User",2,0.778954401527614,1
"53","lightcyan","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"54","lightcyan","NeuronByothersCuffdiff2FCover20__","User",0,1,1
"55","lightcyan","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"56","lightcyan","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"57","magenta","AstroByothersCuffdiff2FCover20__","User",3,0.572208836071873,1
"58","magenta","EndotheByothersCuffdiff2FCover20__","User",2,0.9576988600114,1
"59","magenta","MicrogliByothersCuffdiff2FCover20__","User",3,0.980640405067798,1
"60","magenta","MyeOligoByothersCuffdiff2FCover20__","User",23,2.55476475109971e-22,3.04017005380865e-20
"61","magenta","NeuronByothersCuffdiff2FCover20__","User",1,0.979175886682492,1
"62","magenta","NewOligoByothersCuffdiff2FCover20__","User",2,0.0490413750988902,1
"63","magenta","PreOligoByothersCuffdiff2FCover20__","User",2,0.179890569954821,1
"64","midnightblue","AstroByothersCuffdiff2FCover20__","User",0,1,1
"65","midnightblue","EndotheByothersCuffdiff2FCover20__","User",0,1,1
"66","midnightblue","MicrogliByothersCuffdiff2FCover20__","User",5,0.182403614707009,1
"67","midnightblue","MyeOligoByothersCuffdiff2FCover20__","User",1,0.451713603191992,1
"68","midnightblue","NeuronByothersCuffdiff2FCover20__","User",5,0.0187893522844212,1
"69","midnightblue","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"70","midnightblue","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"71","pink","AstroByothersCuffdiff2FCover20__","User",2,0.801389446928984,1
"72","pink","EndotheByothersCuffdiff2FCover20__","User",1,0.993136864098051,1
"73","pink","MicrogliByothersCuffdiff2FCover20__","User",2,0.995739096861355,1
"74","pink","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"75","pink","NeuronByothersCuffdiff2FCover20__","User",20,4.65333535758044e-10,5.53746907552073e-08
"76","pink","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"77","pink","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"78","purple","AstroByothersCuffdiff2FCover20__","User",1,0.937590149742524,1
"79","purple","EndotheByothersCuffdiff2FCover20__","User",0,1,1
"80","purple","MicrogliByothersCuffdiff2FCover20__","User",3,0.968472541760885,1
"81","purple","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"82","purple","NeuronByothersCuffdiff2FCover20__","User",0,1,1
"83","purple","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"84","purple","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"85","red","AstroByothersCuffdiff2FCover20__","User",5,0.28282683173245,1
"86","red","EndotheByothersCuffdiff2FCover20__","User",5,0.694091262049183,1
"87","red","MicrogliByothersCuffdiff2FCover20__","User",4,0.979725883098591,1
"88","red","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"89","red","NeuronByothersCuffdiff2FCover20__","User",30,2.17978206348911e-17,2.59394065555204e-15
"90","red","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"91","red","PreOligoByothersCuffdiff2FCover20__","User",2,0.23701400657129,1
"92","salmon","AstroByothersCuffdiff2FCover20__","User",0,1,1
"93","salmon","EndotheByothersCuffdiff2FCover20__","User",1,0.91143977114873,1
"94","salmon","MicrogliByothersCuffdiff2FCover20__","User",2,0.8819471739043,1
"95","salmon","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"96","salmon","NeuronByothersCuffdiff2FCover20__","User",1,0.848019592748354,1
"97","salmon","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"98","salmon","PreOligoByothersCuffdiff2FCover20__","User",1,0.315475580854349,1
"99","tan","AstroByothersCuffdiff2FCover20__","User",0,1,1
"100","tan","EndotheByothersCuffdiff2FCover20__","User",0,1,1
"101","tan","MicrogliByothersCuffdiff2FCover20__","User",2,0.94334025469874,1
"102","tan","MyeOligoByothersCuffdiff2FCover20__","User",0,1,1
"103","tan","NeuronByothersCuffdiff2FCover20__","User",0,1,1
"104","tan","NewOligoByothersCuffdiff2FCover20__","User",1,0.195677381953776,1
"105","tan","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
"106","turquoise","AstroByothersCuffdiff2FCover20__","User",8,0.698308254431503,1
"107","turquoise","EndotheByothersCuffdiff2FCover20__","User",12,0.816158440347705,1
"108","turquoise","MicrogliByothersCuffdiff2FCover20__","User",11,0.998317804250258,1
"109","turquoise","MyeOligoByothersCuffdiff2FCover20__","User",21,1.7796212400969e-09,2.11774927571531e-07
"110","turquoise","NeuronByothersCuffdiff2FCover20__","User",10,0.7311723674081,1
"111","turquoise","NewOligoByothersCuffdiff2FCover20__","User",6,0.000655626093446453,0.0780195051201279
"112","turquoise","PreOligoByothersCuffdiff2FCover20__","User",5,0.0884053511660857,1
"113","yellow","AstroByothersCuffdiff2FCover20__","User",7,0.260133075034379,1
"114","yellow","EndotheByothersCuffdiff2FCover20__","User",11,0.220424690834761,1
"115","yellow","MicrogliByothersCuffdiff2FCover20__","User",73,1.80638689592154e-39,2.14960040614663e-37
"116","yellow","MyeOligoByothersCuffdiff2FCover20__","User",2,0.717754377263906,1
"117","yellow","NeuronByothersCuffdiff2FCover20__","User",1,0.998892626476025,1
"118","yellow","NewOligoByothersCuffdiff2FCover20__","User",0,1,1
"119","yellow","PreOligoByothersCuffdiff2FCover20__","User",0,1,1
