"","ftp","study","sample","experiment","run","size(KB)","date"
"1","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593496/SRR1593496.sra","SRP048535","SRS713683","SRX717816","SRR1593496",NA,NA
"2","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593497/SRR1593497.sra","SRP048535","SRS713684","SRX717817","SRR1593497",NA,NA
"3","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593498/SRR1593498.sra","SRP048535","SRS713685","SRX717818","SRR1593498",NA,NA
"4","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593499/SRR1593499.sra","SRP048535","SRS713686","SRX717819","SRR1593499",NA,NA
"5","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593500/SRR1593500.sra","SRP048535","SRS713687","SRX717820","SRR1593500",NA,NA
"6","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593501/SRR1593501.sra","SRP048535","SRS713688","SRX717821","SRR1593501",NA,NA
"7","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593502/SRR1593502.sra","SRP048535","SRS713689","SRX717822","SRR1593502",NA,NA
"8","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593503/SRR1593503.sra","SRP048535","SRS713690","SRX717823","SRR1593503",NA,NA
"9","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593504/SRR1593504.sra","SRP048535","SRS713691","SRX717824","SRR1593504",NA,NA
"10","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593505/SRR1593505.sra","SRP048535","SRS713692","SRX717825","SRR1593505",NA,NA
"11","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593506/SRR1593506.sra","SRP048535","SRS713693","SRX717826","SRR1593506",NA,NA
"12","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593507/SRR1593507.sra","SRP048535","SRS713694","SRX717827","SRR1593507",NA,NA
"13","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593508/SRR1593508.sra","SRP048535","SRS713695","SRX717828","SRR1593508",NA,NA
"14","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593509/SRR1593509.sra","SRP048535","SRS713696","SRX717829","SRR1593509",NA,NA
"15","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593510/SRR1593510.sra","SRP048535","SRS713697","SRX717830","SRR1593510",NA,NA
"16","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593511/SRR1593511.sra","SRP048535","SRS713698","SRX717831","SRR1593511",NA,NA
"17","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR159/SRR1593512/SRR1593512.sra","SRP048535","SRS713699","SRX717832","SRR1593512",NA,NA
