,geo_accession,Run,tissue,cell_type
1,GSM1269903,SRR1033783,cerebral cortex,Astrocyte
2,GSM1269904,SRR1033784,cerebral cortex,Astrocyte
3,GSM1269905,SRR1033785,cerebral cortex,neuron
4,GSM1269906,SRR1033786,cerebral cortex,neuron
5,GSM1269907,SRR1033787,cerebral cortex,oligodendrocyte precursor cells
6,GSM1269908,SRR1033788,cerebral cortex,oligodendrocyte precursor cells
7,GSM1269909,SRR1033789,cerebral cortex,newly formed oligodendrocytes
8,GSM1269910,SRR1033790,cerebral cortex,newly formed oligodendrocytes
9,GSM1269911,SRR1033791,cerebral cortex,myelinating oligodendrocytes
10,GSM1269912,SRR1033792,cerebral cortex,myelinating oligodendrocytes
11,GSM1269913,SRR1033793,cerebral cortex,microglia
12,GSM1269914,SRR1033794,cerebral cortex,microglia
13,GSM1269915,SRR1033795,cerebral cortex,endothelial cells
14,GSM1269916,SRR1033796,cerebral cortex,endothelial cells
